       Step     Time          Energy         fmax
GPMin:   31 16:40:29       -6.741170        0.1474
GPMin:   32 16:40:35       -6.780250        0.1226
GPMin:   33 16:40:42       -6.809057        0.0888
GPMin:   34 16:40:48       -6.830829        0.0979
GPMin:   35 16:40:54       -6.851272        0.1243
GPMin:   36 16:41:01       -6.877555        0.1194
GPMin:   37 16:41:07       -6.905690        0.0893
GPMin:   38 16:41:14       -6.930925        0.0813
GPMin:   39 16:41:20       -6.951053        0.0688
GPMin:   40 16:41:27       -6.968579        0.0677
GPMin:   41 16:41:33       -6.985111        0.0667
GPMin:   42 16:41:40       -7.000339        0.0644
GPMin:   43 16:41:46       -7.012321        0.0601
GPMin:   44 16:41:53       -7.022599        0.0535
GPMin:   45 16:41:59       -7.029989        0.0489
GPMin:   46 16:42:06       -7.040682        0.0604
GPMin:   47 16:42:12       -7.049124        0.0694
GPMin:   48 16:42:19       -7.063751        0.0761
GPMin:   49 16:42:26       -7.078521        0.0748
GPMin:   50 16:42:33       -7.094570        0.0680
GPMin:   51 16:42:40       -7.108286        0.0576
GPMin:   52 16:42:47       -7.120772        0.0562
GPMin:   53 16:42:54       -7.129231        0.0598
GPMin:   54 16:43:01       -7.139177        0.0606
GPMin:   55 16:43:08       -7.145823        0.0554
GPMin:   56 16:43:14       -7.157673        0.0454
GPMin:   57 16:43:21       -7.165952        0.0534
GPMin:   58 16:43:27       -7.175007        0.0614
GPMin:   59 16:43:34       -7.183037        0.0713
GPMin:   60 16:43:41       -7.195338        0.0838
GPMin:   61 16:43:48       -7.209480        0.0847
GPMin:   62 16:43:55       -7.227912        0.0762
GPMin:   63 16:44:02       -7.245723        0.0681
GPMin:   64 16:44:10       -7.260070        0.0590
GPMin:   65 16:44:17       -7.269758        0.0446
GPMin:   66 16:44:24       -7.275214        0.0357
GPMin:   67 16:44:30       -7.277781        0.0297
GPMin:   68 16:44:36       -7.278436        0.0263
GPMin:   69 16:44:42       -7.278947        0.0289
GPMin:   70 16:44:48       -7.279688        0.0165
       Step     Time          Energy         fmax
GPMin:    0 16:45:00       -5.210115        1.4173
GPMin:    1 16:45:08       -6.305510        0.7691
GPMin:    2 16:45:16       -6.790471        0.4220
GPMin:    3 16:45:24       -7.013305        0.2046
GPMin:    4 16:45:32       -7.090238        0.0766
GPMin:    5 16:45:39       -7.101760        0.0508
GPMin:    6 16:45:46       -7.102746        0.0543
GPMin:    7 16:45:52       -7.107562        0.0289
GPMin:    8 16:45:59       -7.109454        0.0247
GPMin:    9 16:46:05       -7.110844        0.0220
GPMin:   10 16:46:11       -7.111811        0.0054
       Step     Time          Energy         fmax
GPMin:    0 16:46:26       -4.428652        1.4630
GPMin:    1 16:46:36       -5.571563        0.8079
GPMin:    2 16:46:45       -6.083449        0.4724
GPMin:    3 16:46:54       -6.312596        0.3046
GPMin:    4 16:47:02       -6.387790        0.2400
GPMin:    5 16:47:12       -6.500852        0.2176
GPMin:    6 16:47:20       -6.514995        0.1714
GPMin:    7 16:47:29       -6.576105        0.2438
GPMin:    8 16:47:37       -6.599506        0.2644
GPMin:    9 16:47:45       -6.630129        0.2675
GPMin:   10 16:47:53       -6.689174        0.2487
GPMin:   11 16:47:59       -6.789707        0.2236
GPMin:   12 16:48:06       -6.894738        0.2255
GPMin:   13 16:48:12       -6.987622        0.2163
GPMin:   14 16:48:18       -7.062716        0.1946
GPMin:   15 16:48:25       -7.113538        0.1566
GPMin:   16 16:48:31       -7.149696        0.1353
GPMin:   17 16:48:38       -7.177848        0.1360
GPMin:   18 16:48:44       -7.200987        0.1133
GPMin:   19 16:48:50       -7.217597        0.0778
GPMin:   20 16:48:57       -7.227343        0.0510
GPMin:   21 16:49:03       -7.232623        0.0494
GPMin:   22 16:49:10       -7.235316        0.0348
GPMin:   23 16:49:15       -7.236687        0.0259
GPMin:   24 16:49:22       -7.237865        0.0317
GPMin:   25 16:49:27       -7.238480        0.0205
GPMin:   26 16:49:32       -7.238913        0.0109
